statement,QCode,SolutionID,Language,Solutions
"
All submissions for this problem are available.Alice and Johnny are playing a simple guessing game. Johnny picks an arbitrary positive integer n (1<=n<=109) and gives Alice exactly k hints about the value of n. It is Alice's task to guess n, based on the received hints. 

Alice often has a serious problem guessing the value of n, and she's beginning to suspect that Johnny occasionally cheats, that is, gives her incorrect hints. 
After the last game, they had the following little conversation:


[Alice] Johnny, you keep cheating!
[Johnny] Indeed? You cannot prove it.
[Alice] Oh yes I can. In fact, I can tell you with the utmost certainty that in the last game you lied to me at least *** times.



So, how many times at least did Johnny lie to Alice? Try to determine this, knowing only the hints Johnny gave to Alice.

Input
The first line of input contains t, the number of test cases (about 20). Exactly t test cases follow. 

Each test case starts with a line containing a single integer k, denoting the number of hints given by Johnny (1<=k<=100000). Each of the next k lines contains exactly one hint. The i-th hint is of the form:

 operator li logical_value

where operator denotes one of the symbols < , > , or =; li is an integer (1<=li<=109), while logical_value is one of the words: Yes or No. The hint is considered correct if logical_value is the correct reply to the question: ""Does the relation: n operator li hold?"", and is considered to be false (a lie) otherwise.

Output
For each test case output a line containing a single integer, equal to the minimal possible number of Johnny's lies during the game.

Example

Input:
3
2
< 100 No
> 100 No
3
< 2 Yes
> 4 Yes
= 3 No
6
< 2 Yes
> 1 Yes
= 1 Yes
= 1 Yes
> 1 Yes
= 1 Yes

Output:
0
1
2

Explanation: for the respective test cases, the number picked by Johnny could have been e.g. n=100, n=5, and n=1. ",A3,S3239948,PYTH,"
    import re
    import pdb
    
    def increase_by_one(start_index, end_index, count):
        for i in range(start_index, end_index):
            count[i] += 1
        return count
    
    def count_lies(result):
        for key in result:
            count = result[key]
    
    if __name__ == '__main__':
        MAX_K = 10
    
        no_of_inputs = int(raw_input())
    
        regex = ur""\A(<|>|=)\s(\d*)\s(No|Yes)\Z""
    
    
        for i in range(0, no_of_inputs):
            no_of_lies = [0] * no_of_inputs
            count = [0] * MAX_K
    
            no_of_guesses = int(raw_input())
            guesses = [0] * no_of_guesses
    
            for j in range(0, no_of_guesses):
                temp = raw_input().split(' ')
                temp[1] = int(temp[1])
    
                if (temp[0] == '<' and temp[2] == 'Yes'):
                    count = increase_by_one(0, temp[1] - 1, count)
                elif (temp[0] == '>' and temp[2] == 'No'):
                    count = increase_by_one(0, temp[1], count)
                elif (temp[0] == '<' and temp[2] == 'No'):
                    count = increase_by_one(temp[1] - 1, MAX_K, count)
                elif (temp[0] == '>' and temp[2] == 'Yes'):
                    count = increase_by_one(temp[1], MAX_K, count)
                elif(temp[0] == '=' and temp[2] == 'Yes'):
                    count = increase_by_one(temp[1] - 1, temp[1], count)
                else: # = 6 No
                    count = increase_by_one(0, temp[1] - 1, count)
                    count = increase_by_one(temp[1], MAX_K, count)
    
                print count
            no_of_lies[i] = no_of_guesses - max(count)
    
        # print result out
        print '\n'.join(str(p) for p in no_of_lies)
    

"
"
All submissions for this problem are available.

Johnny was asked by his math teacher to compute nn (n to the power of n, where n is an integer), and has to read his answer out loud. This is a bit of a tiring task, since the result is probably an extremely large number, and would certainly keep Johnny occupied for a while if he were to do it honestly. But Johnny knows that the teacher will certainly get bored when listening to his answer, and will sleep through most of it! So, Johnny feels he will get away with reading only the first k digits of the result before the teacher falls asleep, and then the last k digits when the teacher wakes up.

Write a program to help Johnny to compute the digits he will need to read out.
Input
The first line contains t, the number of test cases (about 30000). Then t test cases follow.
Each test case consists of one line containing two numbers n and k (1 ≤ n ≤ 109, 1 ≤ k ≤ 9). It is guaranteed that k is not more than the number of digits of nn.
Output
For each test case, print out one line containing two numbers, separated by a space, which are the first and the last k digits of nn.
Example

Input
2
4 2
9 3

Output
25 56
387 489
 ",A4,S11878138,PYTH,"
    import sys
    t = int(raw_input())
    i = 0
    while i < t:
        n,k = map(int, sys.stdin.readline().split())
        mod =  10**18
        while( pow(n,n,mod) != pow(n,n,mod/10)):
            mod = mod /10
        #print mod*10
        print str(pow(n,n,mod))[:k] ,str(pow(n,n,mod))[-k:]       
            
        i += 1
    

"
"
All submissions for this problem are available.
This problem was part of the CodeChef April Challenge.  All user submissions for this contest problem are publicly available here.
Your grandfather is known in the family for his unconventional sense of humour. Since he made his fortune on the network of
pizza parloursa), he has been giving expensive gifts to the members of the family every Christmas. Receiving the gift,
however, always involves solving a more or less fancy mathematical puzzle.
This year, your gift was locked in a safe, self-made by your grandfather. The safe was secured with a two digit code: in order to open it
you had to provide the correct integer number from the range [0,99]. A bit disgruntled that this year's puzzle would apparently be solved with the force (and not even too brute), you were just about to start examining the numbers, when you heard grandfather's voice - ""Beware, kid! After two unsuccessful attempts the content will be annihilated!"" ""Then how am I supposed to solve this, Grandpa?"" - you asked. ""Go and have a better look at the package"" - grandfather replied.
Indeed, at the bottom of the package you found a city map on which were indicated all the pizza parlours belonging to your grandfather, as well as a long sheet of paper with a sequence of positive integers. After analysing the data for a while you realized that the number of integer values is equal to the number of pizza restaurants... Recognizing that you still have too little input, you went to ask grandfather for further guidance.
""Ah, all right, I'll solve the riddle for you"" - grandfather relented. ""For each pizza parlour you have to draw such an axis-aligned square that it is centered at the restaurant and half of the length of its side is equal to the corresponding value from the sheet. Then you have to count all the streets on the map which intersect with the square, and write down the result of calculations. The result for the last pizza parlour will be your magic number.""
You were a bit surprised that grandfather ordered you to draw squares and count streets for all the restaurants (and there were many), since the code would only depend on the last one. Nonetheless you willingly took on the job, drew the square for the last pizza parlour, counted the streets and entered the number. Unfortunately the safe didn't open.
You rushed to grandfather and told him about the first failed attempt. ""Oh dear, did I forget to mention?"" - the old man was slightly taken aback. ""For each restaurant but the first one, you have to modify both its coordinates by bit-xor'ing them with the result of calculations for the directly preceding restaurant, before drawing the square!"". Will you be able to claim the gift now? You have only one attempt left!
Input

The first line of input contains two integers n and m (0 ≤ n ≤ 5000, 1 ≤ m ≤ 50000), the number of streets in the capital city and the number of pizza parlours, respectively. The following n lines contain four integers x1, y1, x2 and y2, each (0 ≤ x1, y1, x2, y2 ≤ 1000<). Each of these lines defines the location of one of the streets, with (x1,y1) representing one of the endpoints and (x2,y2) the other one. The streets can be assumed to be straight line segments. Eventually there are m lines with three integers x, y and r each (0 ≤ x, y ≤ 1000, 1 ≤ r ≤ 20). Each of these lines defines x and y coordinates of one of the pizza parlours and the corresponding number from the sheet attached to your gift, respectively.
You may find it useful to know that:

A street can have identical endpointsb).
Any two distinct streets have at most one common point.
When counting intersecting streets, you should assume that the boundary of the square belongs to the square.
The configuration of the streets guarantees that any square satisfying 0 ≤ x, y ≤ 1000, 1 ≤ r ≤ 20 will contain at most 99 intersecting streets.
Your grandfather is 78 and claims that Fortran is the best language for solving his Christmas puzzles.

Output
The output should contain a single integer value - the code that opens the safe.
Example

Input:
5 2
2 2 4 6
2 2 7 4
4 6 7 4
7 4 10 3
7 4 10 5
10 4 2
0 0 1

Output:
2
Notes
a) This should not surprise anyone. As the IT sector is extremely well-developed in Byteland, pizza network owners are among the richest people there.
b) For some inscrutable reasons such streets are called squares. Not to be mixed up with the squares you draw!
",A7,S150528,PYTH,"
    #!/usr/bin/python
    
    # first take the first point
    # do while there are still nodes left
    # 	create a square
    # 	find which lines intersect with the square
    #	if there is a next point
    #	 	xor this value with the co-ordinates of next point and continue
    #	else
    #		output this value
    line = raw_input()
    t = line.split()
    num_street = int(t[0])
    num_pizza = int(t[1])
    x0 = []
    x1 = []
    x2 = []
    y0 = []
    y1 = []
    y2 = []
    side = []
    for i in range(num_street):
    	line = raw_input()
    	t = line.split()
    	x1 += [int(t[0])]
    	y1 += [int(t[1])]
    	x2 += [int(t[2])]
    	y2 += [int(t[3])]
    for i in range(num_pizza):
    	line = raw_input()
    	t = line.split()
    	x0 += [int(t[0])]
    	y0 += [int(t[1])]
    	side += [int(t[2])]
    
    result = 0
    for i in range(num_pizza):
    	x0[i] ^= result
    	y0[i] ^= result
    	result = 0
    	for j in range(num_street):
    		if((x1[j] < x0[i]-side[i]) and (x2[j] < x0[i]-side[i])):
    			continue
    		elif((y1[j] < y0[i]-side[i]) and (y2[j] < y0[i]-side[i])):
    			continue
    		elif((x1[j] > x0[i]+side[i]) and (x2[j] > x0[i]+side[i])):
    			continue
    		elif((y1[j] > y0[i]+side[i]) and (y2[j] > y0[i]+side[i])):
    			continue
    		if(((x1[j] <= x0[i]+side[i]) and (x1[j] >= x0[i]-side[i])) and ((y1[j] <= y0[i]+side[i]) and (y1[j] >= y0[i]-side[i])) or ((x2[j] <= x0[i]+side[i]) and (x2[j] >= x0[i]-side[i])) and ((y2[j] <= y0[i]+side[i]) and (y2[j] >= y0[i]-side[i]))):
    			result += 1
    		else:
    			m = (x2[j]-x1[j])/(float(y2[j]-y1[j]))
    			y3 = y0[i]+side[i]
    			x3 = x2[j] - (m*(y2[j]-y3))
    			if((x3 <= x0[i]+side[i]) or (x3>= x0[i]-side[i])):
    				result += 1
    				continue
    			y3 = y0[i]-side[i]
    			x3 = x2[j] - (m*(y2[j]-y3))
    			if((x3 <= x0[i]+side[i]) or (x3>= x0[i]-side[i])):
                                    result += 1
                                    continue
    			x3 = x0[i] + side[i]
    			y3 = y2[j] - (x2[j]-x3)/m
    			if((y3 <= y0[i]+side[i]) or (y3 >= y0[i]-side[i])):
    				result += 1
    				continue
    			x3 = x0[i] - side[i]
                            y3 = y2[j] - (x2[j]-x3)/m
                            if((y3 <= y0[i]+side[i]) or (y3 >= y0[i]-side[i])):
                                    result += 1
                                    continue
    print result
    

"
"
All submissions for this problem are available.
Byteland is a strange country, with many cities, but with a poorly developed road network (in fact, there is exactly one route from each city to any other city, possibly leading through other cities). Until recently, the cities of Byteland were independently governed by proud Mayors, who chose not to integrate too tightly with their neighbours. However, recent opinion polls among Bytelandian computer programmers have shown a number of disturbing trends, including a sudden drop in pizza consumption.
Since this had never before happened in Byteland and seemed quite inexplicable, the Mayors sought guidance of the High Council of Wise Men of Byteland. After a long period of deliberation, the Council ruled that the situation was very serious indeed: the economy was in for a long-term depression! Moreover, they claimed that tighter integration was the only way for the Bytelandian cities to survive. Whether they like it or not, the Mayors must now find a way to unite their cities as quickly as possible. However, this is not as easy as it sounds, as there are a number of important constraints which need to be fulfilled:

Initially, each city is an independent State. The process of integration is divided into steps.
At each step, due to the limited number of diplomatic envoys available, a State can only be involved in a unification process with at most one other state. At each step two States can unite to form a new State, but only if there exists a road directly connecting some two cities of the uniting States.
The unification process is considered to be complete when all the cities belong to the same, global State.


The Mayors have asked you to arrange a schedule for the diplomatic talks, so that unification can be completed in as few steps as possible. Can you handle this delicate task?a)
Input
The first line contains t, the number of test cases (less than 1000). The descriptions of t test cases follow.
 Each test case contains the description of the cities of Byteland, given in two lines. The first line contains a single integer k, representing the number of cities in Byteland (2 <= k <= 600); we assume that the cities are numbered 0,...,k-1. The second line contains exactly k-1 integers, and the i-th integer having a value of p represents a road connecting cities having numbers i+1 and p in Byteland.
Output
For each test case, output a separate line containing one number, equal to the minimum number
of steps required to perform the unification.
Example

Input:
3
4
0 1 2
8
0 1 2 0 0 3 3
9
0 1 1 1 1 0 2 2

Output:
2
4
5

a) Some conspiracy theorists claim that this task has in fact nothing to do with unification, and that it was proposed by pizza parlour lobbyists simply to boost their direct revenue at your expense. But don't worry, in any case, you are helping Byteland out of depression!
",A8,S43278,PYTH,"
    import sys
    
    a = sys.stdin.readlines()
    
    t = int(a[0])
    
    for i in range(0, t):
        # k number of initial cities
        # p connections between them
        [k, p] = a[2*i+1:2*i+3]
        p = p.split(' ')
    
        c = [0] * int(k)
    
        # get the most shared city + 1
        for j in range(0, len(p)):
            p[j] = int(p[j])
        p.sort()
        for j in range(0, len(p)):
            c[j] = p.count(j)
    
        print max(c)+1
    

"
"
All submissions for this problem are available. Read problems statements in Mandarin Chinese , Russian and Vietnamese as well.
Akhil has many balls of white and black colors. One day, he was playing with them. During the play, he arranged the balls into two rows both consisting of N number of balls. These two rows of balls are given to you in the form of strings X, Y. Both these string consist of 'W' and 'B', where 'W' denotes a white colored ball and 'B' a black colored.

Other than these two rows of balls, Akhil has an infinite supply of extra balls of each color. he wants to create another row of N balls, Z in such a way that the sum of hamming distance between X and Z, and hamming distance between Y and Z is maximized.
Hamming Distance between two strings X and Y is defined as the number of positions where the color of balls in row X differs from the row Y ball at that position. e.g. hamming distance between ""WBB"", ""BWB"" is 2, as at position 1 and 2, corresponding colors in the two strings differ..

As there can be multiple such arrangements of row Z, Akhil wants you to find the lexicographically smallest arrangement which will maximize the above value. 

Input

The first line of the input contains an integer T denoting the number of test cases. The description of T test cases follows:
First line of each test case will contain a string X denoting the arrangement of balls in first row
Second line will contain the string Y denoting the arrangement of balls in second row.

Output

For each test case, output a single line containing the string of length N denoting the arrangement of colors of the balls belonging to row Z.

Constraints

1 ≤ T ≤ 3

Subtasks
Subtask #1 (10 points) : 1 ≤ N ≤ 16
Subtask #2 (20 points) : 1 ≤ N ≤ 103
Subtask #3 (70 points) : 1 ≤ N ≤ 105
Example
Input:
1
WBWB
WBBB

Output:
BWBW

Explanation
Example case 1. As we know, Hamming Distance(WBWB, BWBW) + Hamming Distance(WBBB, BWBW) = 4 + 3 = 7.
You can try any other value for string Z, it will never exceed 6.  ",ACBALL,S10211766,PYTH,"
    t = int(raw_input())
    
    while t > 0:
        x = raw_input()
        y = raw_input()
        z = ''
        for i in range(len(x)):
            if x[i] == y[i] == 'B':
                z += 'W'
            elif x[i] == y[i] == 'W':
                z += 'B'
            else:
                z += 'B'
        print z
    

"
"
All submissions for this problem are available.Read problems statements in Mandarin Chinese  and Russian.
You are given a one dimensional integer array A of length N. You need to maintain the array under Q queries of the following four types. Assume 1-based indexing and M = 109 + 7.
Query 1 : 1 x y v  This implies adding v to array A to all the indices from x to y, i.e., 
for (i = x; i <= y; i++)	
	Ai += v;
	Ai %= M; 

 
Query 2 : 2 x y v  This implies multiplying the scalar v with the array A for all the indices from x to y, i.e., 
for (i = x; i <= y; i++)	
        Ai *= v
        Ai %= M

 
Query 3 : 3 x y v  This implies initializing the array A at all the indices from x to y with the value v, i.e., 
for (i = x; i <= y; i++)	
	Ai = v 

 
Query 4 : 4 x y This is a report query which needs to find the sum of the values in A from x to y, i.e., 
sum = 0;
for (i = x; i <= y; i++)
	sum += Ai
	sum %= M
Output sum.

 
Note: a%b represents the remainder of a when divided by b.
Input

First line contains two space separated integers N, Q.
Next line contains N space separated integers denoting the array A.
Next Q lines contain queries which can be of any of the above four types.

Output

For each query of type 4, output a single integer corresponding to the answer in a single line.

Constraints

1 ≤ N ≤ 105
1 ≤ Q ≤ 105
1 ≤ Initial value of Ai ≤ 109
1 ≤ v ≤ 109

Subtasks

 Subtask 1: Queries are of type 1, 3 and 4. Points - 5.
 Subtask 2: Queries are of type 2, 3 and 4. Points - 5.
 Subtask 3: Queries are of type 1, 2 and 4. Points - 30.
 Subtask 4: All the queries are present. Points - 60.

Example
Input:
4 4
1 2 3 4
4 1 4
1 1 3 10
2 2 4 2
4 1 4

Output:
10
69


Explanation
Initial A : [1, 2, 3, 4] Result of first query : 1 + 2 + 3 + 4 = 10 A after second query: [ 11, 12, 13, 4] A after third query : [ 11, 24, 26, 8] Result of fourth query : 11 + 24 + 26 + 8 = 69 ",ADDMUL,S7476207,PYTH,"
    n,q = map(int,raw_input().split("" ""))
    a = map(int,raw_input().split("" ""))
    M = 1000000007
    a.insert(0,0)
    def query1(x,y,v):
    	for j in range(x,y):
    		a[j] += v
    		#a[j] = divmod(a[j],M)[1]
    def query2(x,y,v):
    	for j in range(x,y):
    		a[j] *= v
    		#a[j] = divmod(a[j],M)[1]
    def query3(x,y,v):
    	for j in range(x,y):
    		a[j] = v
    def query4(x,y):
    	sumar = 0
    	for j in range(x,y):
    		sumar += a[j]
    	print divmod(sumar,M)[1]
    for i in range(q):
    	query = raw_input().split("" "")
    	if(query[0]==""1""):
    		query1(int(query[1]),int(query[2])+1,int(query[3]))
    	elif(query[0]==""2""):
    		query2(int(query[1]),int(query[2])+1,int(query[3]))
    	elif(query[0]==""3""):
    		query3(int(query[1]),int(query[2])+1,int(query[3]))
    	else:
    		query4(int(query[1]),int(query[2])+1)
    

"
"
All submissions for this problem are available. Read problems statements in Mandarin Chinese  and Russian.
Aditi recently discovered a new magic trick. First, she gives you an integer N and asks you to think an integer between 1 and N. Then she gives you a bundle of cards each having a sorted list (in ascending order) of some distinct integers written on it. The integers in all the lists are between 1 and N. Note that the same integer may appear in more than one card. Now, she shows you these cards one by one and asks whether the number you thought is written on the card or not. After that, she immediately tells you the integer you had thought of.
Seeing you thoroughly puzzled, she explains that she can apply the trick so fast because she is just adding the first integer written on the cards that contain the integer you had thought of, and then gives the sum as the answer. She calls a bundle interesting if when the bundle is lexicographically sorted, no two consecutive cards have any number in common. Now she challenges you to find out the minimum number of cards she will need for making an interesting bundle such that the magic trick will work every time.
Input

The first line of the input contains an integer T denoting the number of test cases.
Each test case contains a line with a single integer N.

Output

For each test case, output a line containing a single integer denoting the minimum number of cards required.

Constraints

1 ≤ T ≤ 105
1 ≤ N ≤ 1018

Sub tasks

Subtask #1: 1 ≤ T ≤ 10, 1 ≤ N ≤ 10 (5 points)
Subtask #2: 1 ≤ T ≤ 100, 1 ≤ N ≤ 1000 (10 points)
Subtask #3: Original Constraints (85 points)

Example
Input:
2
1
4

Output:
1
3
Explanation

In example 1, only 1 card containing {1} will work.
In example 2, make 3 cards containing {1,4}, {2} and {3,4}.

Assume you thought of 1, then you will select the 1st card {1,4}, then she will correctly figure out the integer you thought being 1.
Assume you thought of 2, then you will select the 2nd card {2}, then she will correctly figure out the integer you thought being 2.
Assume you thought of 3, then you will select the 3rd card {3,4}, then she will correctly figure out the integer you thought being 3.
Assume you thought of 4, then you will select 1st card {1,4} and 3rd card {3,4}, then she will calculate the sum of the first integers of the two card 1 + 3 = 4, and she will answer it.

Thus her trick will work well in every case. And we can check it easily that the cards are sorted in lexicographical order and two consecutive cards have no common integers.
 ",ADMAG,S11169224,PYTH,"
    from math import *
    def adityAndMagic(n):
        a=log(n,2)
        return int(a)+1
            
    t=int(raw_input())
    for i in range(t):
        k=int(raw_input())
        print adityAndMagic(k)
        
    

"
"

                    function formatTime(ts) {
                      now = new Date(ts);

                      localtime = new Date();
                      hour = now.getHours();
                      min = now.getMinutes();
                      sec = now.getSeconds();

                      if (min <= 9) {
                        min = ""0"" + min;
                      }
                      if (sec <= 9) {
                        sec = ""0"" + sec;
                      }
                      if (hour > 12) {
                        hour = hour - 12;
                        add = "" PM"";
                      } else {
                        hour = hour;
                        add = "" AM"";
                      }
                      if (hour == 12) {
                        add = "" PM"";
                      }
                      if (hour == 00) {
                        hour = ""12"";
                      }

                      $('#server-time').html(((hour<=9) ? ""0"" + hour : hour) + "":"" + min + "":"" + sec + add);

                      nextSec = (now.getTime() + 1000);

                      setTimeout(""formatTime(""+nextSec+"")"", 1000);
                    }
                    function getDtTimeZone()
                    {
                      var rightNow = new Date();
                      var toDay = new Date(rightNow.getFullYear(), 0, 1, 0, 0, 0, 0);
                      var temp = toDay.toGMTString();
                      var date2 = new Date(temp.substring(0, temp.lastIndexOf("" "") -1));
                      var stdTime = (toDay - date2) / (1000 * 60 * 60);
                      return stdTime;
                    }
/*var d=new Date();
$.ajax({
url: '/umtza',
type:'POST',
data: 'umtza='+d.toString(),
});
*/

CodeChef is a non-commercial competitive programming community




About CodeChef
About Directi
CEO's Corner
C-Programming
Programming Languages
Contact Us


© 2009 Directi Group.  All Rights Reserved.  CodeChef uses SPOJ © by Sphere Research Labs
In order to report copyright violations of any kind, send in an email to copyright@codechef.com



The time now is: 

        formatTime('September 01, 2014 16:46:08');
      




    var _gaq = _gaq || [];
    _gaq.push(['_setAccount', 'UA-53602-42']);
    _gaq.push(['_trackPageview']);

    (function() {
      var ga = document.createElement('script'); ga.type = 'text/javascript'; ga.async = true;
      ga.src = ('https:' == document.location.protocol ? 'https://ssl' : 'http://www') + '.google-analytics.com/ga.js';
      var s = document.getElementsByTagName('script')[0]; s.parentNode.insertBefore(ga, s);
    })();

  


    /* <![CDATA[ */
    var google_conversion_id = 1066618556;
    var google_conversion_language = ""en"";
    var google_conversion_format = ""3"";
    var google_conversion_color = ""666666"";
    var google_conversion_label = ""gbUUCPTlhAIQvJ3N_AM"";
    var google_conversion_value = 0;
    /* ]]> */
  









    /* <![CDATA[ */
    var google_conversion_id = 968176136;
    var google_conversion_language = ""en"";
    var google_conversion_format = ""3"";
    var google_conversion_color = ""ffffff"";
    var google_conversion_label = ""iDk7CPDZ7wMQiOTUzQM"";
    var google_conversion_value = 0;
    /* ]]> */
  








CodeChef - A Platform for Aspiring Programmers
CodeChef was created as a platform to help programmers make it big in the world of algorithms, computer programming and programming contests. At CodeChef we work hard to revive the geek in you by hosting a programming contest at the start of the month and another smaller programming challenge in the middle of the month. We also aim to have training sessions and discussions related to algorithms, binary search, technicalities like array size and the likes. Apart from providing a platform for programming competitions, CodeChef also has various algorithm tutorials and forum discussions to help those who are new to the world of computer programming.

Practice Section - A Place to hone your 'Computer Programming Skills'
Try your hand at one of our many practice problems and submit your solution in a language of your choice. Our programming contest judge accepts solutions in over 35+ programming languages. Preparing for coding contests were never this much fun! Receive points, and move up through the CodeChef ranks. Use our practice section to better prepare yourself for the multiple programming challenges that take place through-out the month on CodeChef. 

Compete - Monthly Programming Contests and Cook-offs
Here is where you can show off your computer programming skills. Take part in our 10 day long monthly coding contest and the shorter format Cook-off coding contest. Put yourself up for recognition and win great prizes. Our programming contests have prizes worth up to Rs.20,000 and $700lots more CodeChef goodies up for grabs. 

Discuss
Are you new to computer programming? Do you need help with algorithms? Then be a part of CodeChef's Forums and interact with all our programmers - they love helping out other programmers and sharing their ideas. Have discussions around binary search, array size, branch-and-bound, Dijkstra's algorithm, Encryption algorithm and more by visiting the CodeChef Forums and Wiki section.

CodeChef Community
As part of our Educational initiative, we give institutes the opportunity to associate with CodeChef in the form of Campus Chapters. Hosting online programming competitions is not the only feature on CodeChef. You can also host a coding contest for your institute on CodeChef, organize an algorithm event and be a guest author on our blog. 

Go For Gold
The Go for Gold Initiative was launched about a year after CodeChef was incepted, to help prepare Indian students for the ACM ICPC World Finals competition. In the run up to the ACM ICPC competition, the Go for Gold initiative uses CodeChef as a platform to train students for the ACM ICPC competition via multiple warm up contests. As an added incentive the Go for Gold initiative is also offering over Rs.8 lacs to the Indian team that beats the 29th position at the ACM ICPC world finals. Find out more about the Go for Gold and the ACM ICPC competition here.
 ",AHWORK,S10241148,PYTH,"
    def removal_count(begin, end, left, right):
    	if(a[begin][end][left][right]==-1):
    		if(begin>end):
    			a[begin][end][left][right]=0
    		elif(begin==end and left==0 and right==0):
    			if(s_list[begin]=='ab' or s_list[begin]=='ba'):
    				a[begin][end][left][right]=1
    			else:
    				a[begin][end][left][right]=0
    		else:
    			if(left!=0):
    				start=s_list[begin-1][left:]
    			else:
    				start=s_list[begin]
    			if(right!=0):
    				stop=s_list[end+1][:right]
    			else:
    				stop=s_list[end]
    			if(start[::-1]==stop):
    				a[begin][end][left][right]=removal_count(begin+1,end-1,0,0)
    			elif(start[0]==stop[-1:]):
    				a[begin][end][left][right]=removal_count(begin+1,end-1,len(s_list[begin])-1,len(s_list[end])-1)
    			else:
    				a[begin][end][left][right]=min(removal_count(begin,end-1,0,0),removal_count(begin+1,end,0,0))+1
    	return a[begin][end][left][right]
    
    
    s = raw_input()
    s_list = s.split()
    a = []
    for i in range(len(s_list)):
    	a.append([])
    	for j in range(len(s_list)):
    		a[i].append([])
    		for k in range(2):
    			a[i][j].append([])
    			for l in range(2):
    				a[i][j][k].append(-1)
    print removal_count(0,len(s_list)-1,0,0)

"
"
All submissions for this problem are available. Read problems statements in Mandarin Chinese, Russian and Vietnamese as well.
 Alexey is trying to develop a program for a very simple microcontroller. It makes readings from various sensors over time, and these readings must happen at specific regular times. Unfortunately, if two of these readings occur at the same time, the microcontroller freezes and must be reset. 

There are N different sensors that read data on a regular basis. For each i from 1 to N, the reading from sensor i will occur every Ai milliseconds with the first reading occurring exactly Ai milliseconds after the microcontroller is powered up. Each reading takes precisely one millisecond on Alexey's microcontroller.


Alexey wants to know when the microcontroller will freeze after he turns it on.

Input
The first line of the input contains an integer T denoting the number of test cases. The description of T test cases follows.
The first line contains single integer N denoting the number of sensors.

The second line contains N space-separated integers A1, A2, ..., AN denoting frequency of measurements. Namely, sensor i will be read every Ai milliseconds with the first reading occurring Ai milliseconds after the microcontroller is first turned on.

 
Output
For each test case, output a single line containing the number of milliseconds until the microcontroller freezes.
 
Constraints

1 ≤ T ≤ 10
2 ≤ N ≤ 500
1 ≤ Ai ≤ 109

 
Subtasks
Subtask #1 (10 points) 1  ≤ T ≤ 10, 2 ≤ N ≤ 9, 1 ≤ Ai ≤ 500
Subtask #2 (20 points) 1  ≤ T ≤ 10, 2 ≤ N ≤ 500, 1 ≤ Ai ≤  1000
Subtask #3 (70 points)  original constraints
 
Example
Input:
3
3
2 3 5
4
1 8 7 11
4
4 4 5 6

Output:
6
7
4

 
Explanation
Case 1: in 6 milliseconds, the third reading will be attempted from the 1st sensor and the second reading will be attempted from the 2nd sensor.
Case 2: in 7 milliseconds the seventh reading will be attempted from the 1st sensor and the first reading will be attempted from the 3rd sensor.
Case 3: in 4 milliseconds, the first readings from the first two sensors will be attempted. ",ALEXTASK,S12121952,PYTH,"
    t = raw_input()
    for i in range(0,int(t)):
      n = raw_input()
      numbers = map(int, raw_input().split())
      numbers.sort()
      if numbers[0]==numbers[1]:
        print numbers[0]
      else:
        multi=numbers[0]*numbers[1]
        print(multi)

"
"
All submissions for this problem are available. Read problems statements in Mandarin Chinese, Russian and Vietnamese as well.

As a cryptologist, after working on numerous cryptographic protocols, Alice is now retired and living happily in Wonderland. However Alice is still obsessed with security, she even invented a new way to set passwords. Given a board of n rows and n columns with unitary size cells, Alice creates a password by drawing exactly n+1 lines with vertices of the integer points on the perimeter of the board. 



One day Alice forgot her CodeChef password! She knew that she had set her password in the secure way. She remembers that no two lines were parallel, and that every cell of the board was cut by at least one of the lines. A cell is cut by a line when there exists a point strictly inside of the cell that belongs to the line.


Please help Alice finding one password satisfying the information that she remembered.

Input
The first line of the input contains one integer T the number of test cases.
Each test case is described by a line containing an integer  n representing the size of the board.
Output
For each test case print n + 1 lines each of them containing four integers x1 y1 x2 y2 with x1 ≠ x2 and y1 ≠ y2, representing a line that goes from (x1,y1) to (x2,y2). 
If there are multiple passwords that satisfies the information, print any of them.
Constraints

1 ≤ T ≤ 10 
1 ≤ n ≤ 103 

Example
Input:
1
3

Output:
0 0 3 2
3 0 0 2
0 1 2 3
0 3 3 2

Explanation
One of the possible passwords is depicted in the above figure.
Every cell is cut by at least one line, for example the green cell is cut by the blue and purple lines, but not by the yellow one. The integer points on the perimeter of the board are drawn as small black circles. ",ALICE,S11253155,PYTH,"
    import sys
    
    t = sys.stdin.readline()
    
    for inn in range(int(t)):
    
        n = int(sys.stdin.readline())
        if n != 1:
            flag = 0
            for i in range(n):
                if flag == 0:
                    print ""0 "" + str(i) + "" "" + str(n) + "" "" + str(i+1)
                    flag = 1
                elif flag == 1:
                    print str(n) + "" "" + str(i) + "" 0 "" + str(i+1)
                    flag = 0
            print ""0 0 "" + str(n) + "" "" + str(n)
        else :
            print ""0 0 1 1""
            print ""1 0 0 1""
            
            
    

"
